COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
TOTOECD,BALANCE,TOTPRODS,STCHANAT,AUG2022,-1887.8719999999998
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,AUG2022,49009.604
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,AUG2022,60003.821
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,AUG2022,107765.283
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,AUG2022,52419.367
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,AUG2023,3384.036
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,AUG2023,3384.036
TOTOECD,BALANCE,TOTPRODS,BUNKERS,AUG2023,6612.932
TOTOECD,BALANCE,CRNGFEED,CSNATTER,AUG2023,261977.311
TOTOECD,BALANCE,TOTPRODS,CSNATTER,AUG2023,209302.846
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,AUG2023,24121.069
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,AUG2023,159303.95
TOTOECD,BALANCE,CRNGFEED,INDPROD,AUG2023,116187.672
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,AUG2023,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,AUG2023,155919.914
TOTOECD,BALANCE,CRNGFEED,OSNATTER,AUG2023,265326.044
TOTOECD,BALANCE,TOTPRODS,OSNATTER,AUG2023,207755.775
TOTOECD,BALANCE,CRNGFEED,OSOURCES,AUG2023,8423.241
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,AUG2023,24121.069
TOTOECD,BALANCE,CRNGFEED,PTRANSF,AUG2023,9236.481
TOTOECD,BALANCE,TOTPRODS,PTRANSF,AUG2023,9236.481
TOTOECD,BALANCE,TOTPRODS,RECYCLED,AUG2023,88.361
TOTOECD,BALANCE,TOTPRODS,REFFUEL,AUG2023,6677.9800000000005
TOTOECD,BALANCE,TOTPRODS,REFGROUT,AUG2023,164540.204
TOTOECD,BALANCE,CRNGFEED,REFINOBS,AUG2023,167962.508
TOTOECD,BALANCE,CRNGFEED,REFLOSS,AUG2023,3422.304
TOTOECD,BALANCE,CRNGFEED,STATDIFF,AUG2023,4166.528
TOTOECD,BALANCE,TOTPRODS,STATDIFF,AUG2023,1625.342
TOTOECD,BALANCE,CRNGFEED,STCHANAT,AUG2023,-3348.733
TOTOECD,BALANCE,TOTPRODS,STCHANAT,AUG2023,1547.071
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,AUG2023,51523.043000000005
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,AUG2023,55959.737
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,AUG2023,107192.985
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,AUG2023,52213.859000000004
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,Y2D2022,24239.956
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,Y2D2022,24239.956
TOTOECD,BALANCE,TOTPRODS,BUNKERS,Y2D2022,55364.998999999996
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,Y2D2022,181275.459
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,Y2D2022,1229248.311
TOTOECD,BALANCE,CRNGFEED,INDPROD,Y2D2022,847001.166
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,Y2D2022,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,Y2D2022,1205008.355
TOTOECD,BALANCE,CRNGFEED,OSOURCES,Y2D2022,60453.854
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,Y2D2022,181275.459
TOTOECD,BALANCE,CRNGFEED,PTRANSF,Y2D2022,45759.273
TOTOECD,BALANCE,TOTPRODS,PTRANSF,Y2D2022,45759.273
TOTOECD,BALANCE,TOTPRODS,RECYCLED,Y2D2022,904.477
TOTOECD,BALANCE,TOTPRODS,REFFUEL,Y2D2022,53658.531
TOTOECD,BALANCE,TOTPRODS,REFGROUT,Y2D2022,1261705.798
TOTOECD,BALANCE,CRNGFEED,REFINOBS,Y2D2022,1292738.716
TOTOECD,BALANCE,CRNGFEED,REFLOSS,Y2D2022,31032.918
TOTOECD,BALANCE,CRNGFEED,STATDIFF,Y2D2022,-29242.356
TOTOECD,BALANCE,TOTPRODS,STATDIFF,Y2D2022,14388.195
TOTOECD,BALANCE,CRNGFEED,STCHANAT,Y2D2022,-17035.88
TOTOECD,BALANCE,TOTPRODS,STCHANAT,Y2D2022,-1566.605
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,Y2D2022,384176.063
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,Y2D2022,449477.009
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,Y2D2022,834457.753
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,Y2D2022,402443.979
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,Y2D2023,25638.431
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,Y2D2023,25638.431
TOTOECD,BALANCE,TOTPRODS,BUNKERS,Y2D2023,51319.985
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,Y2D2023,188025.157
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,Y2D2023,1231624.22
TOTOECD,BALANCE,CRNGFEED,INDPROD,Y2D2023,895250.029
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,Y2D2023,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,Y2D2023,1205985.789
TOTOECD,BALANCE,CRNGFEED,OSOURCES,Y2D2023,61759.558
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,Y2D2023,188025.157
TOTOECD,BALANCE,CRNGFEED,PTRANSF,Y2D2023,50719.235
TOTOECD,BALANCE,TOTPRODS,PTRANSF,Y2D2023,50719.235
TOTOECD,BALANCE,TOTPRODS,RECYCLED,Y2D2023,771.858
TOTOECD,BALANCE,TOTPRODS,REFFUEL,Y2D2023,51810.874
TOTOECD,BALANCE,TOTPRODS,REFGROUT,Y2D2023,1252755.908
TOTOECD,BALANCE,CRNGFEED,REFINOBS,Y2D2023,1281730.602
TOTOECD,BALANCE,CRNGFEED,REFLOSS,Y2D2023,28974.696
TOTOECD,BALANCE,CRNGFEED,STATDIFF,Y2D2023,-18469.936
TOTOECD,BALANCE,TOTPRODS,STATDIFF,Y2D2023,12129.619
TOTOECD,BALANCE,CRNGFEED,STCHANAT,Y2D2023,-4167.162
TOTOECD,BALANCE,TOTPRODS,STCHANAT,Y2D2023,6174.441
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,Y2D2023,409450.388
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,Y2D2023,445515.655
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,Y2D2023,823201.796
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,Y2D2023,407741.10599999997
AUSTRALI,BALANCE,CRNGFEED,INDPROD,2021,18029.757999999998
AUSTRIA,BALANCE,CRNGFEED,INDPROD,2021,561.852
BELGIUM,BALANCE,CRNGFEED,INDPROD,2021,0.0
CANADA,BALANCE,CRNGFEED,INDPROD,2021,266630.18
CHILE,BALANCE,CRNGFEED,INDPROD,2021,340.997
CZECH,BALANCE,CRNGFEED,INDPROD,2021,87.0
DENMARK,BALANCE,CRNGFEED,INDPROD,2021,3239.0
ESTONIA,BALANCE,CRNGFEED,INDPROD,2021,0.0
FINLAND,BALANCE,CRNGFEED,INDPROD,2021,0.0
FRANCE,BALANCE,CRNGFEED,INDPROD,2021,874.0
GERMANY,BALANCE,CRNGFEED,INDPROD,2021,3085.15
GREECE,BALANCE,CRNGFEED,INDPROD,2021,58.754
HUNGARY,BALANCE,CRNGFEED,INDPROD,2021,1095.0
ICELAND,BALANCE,CRNGFEED,INDPROD,2021,0.0
IRELAND,BALANCE,CRNGFEED,INDPROD,2021,0.0
ISRAEL,BALANCE,CRNGFEED,INDPROD,2021,168.0
ITALY,BALANCE,CRNGFEED,INDPROD,2021,5831.0779999999995
JAPAN,BALANCE,CRNGFEED,INDPROD,2021,383.249
KOREA,BALANCE,CRNGFEED,INDPROD,2021,1078.892
LATVIA,BALANCE,CRNGFEED,INDPROD,2021,0.0
LITHUANIA,BALANCE,CRNGFEED,INDPROD,2021,28.599999999999998
LUXEMBOU,BALANCE,CRNGFEED,INDPROD,2021,0.0
MEXICO,BALANCE,CRNGFEED,INDPROD,2021,95425.431
